Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Baldur's Gate 3,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Combat, Controller, Stealth",1.0,1.0,Baldur's Gate,"3 Aug, 2023",Larian Studios,Larian Studios,"English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Italian, Spanish - Latin America, Traditional Chinese, Ukrainian, Korean, Japanese","(498,632)","(515,427)","(16,795)","990.000,00₫",-10%
Counter-Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",1.0,1.0,,"21 Aug, 2012",Valve,Valve,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","(6,845,621)","(7,809,836)","(964,215)",Free,
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Psychological Horror, Co-op, Exploration, Survival Horror, PvE, Sci-fi, Procedural Generation, Atmospheric, Time Management, Aliens, Dungeon Crawler, Adventure, Action, Action-Adventure, Perma Death, Realistic, Early Access",0.0,1.0,,"23 Oct, 2023",Zeekerss,Zeekerss,English,"(218,847)","(222,992)","(4,145)","142.000,00₫",
Cyberpunk 2077,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim",1.0,1.0,,"9 Dec, 2020",CD PROJEKT RED,CD PROJEKT RED,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish, Ukrainian","(564,519)","(697,970)","(133,451)","990.000,00₫",-50%
ELDEN RING,"Action, RPG","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly",0.0,1.0,Bandai Namco Entertainment,"24 Feb, 2022",FromSoftware Inc.,FromSoftware Inc.,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese","(688,189)","(744,999)","(56,810)","898.000,00₫",-40%
Apex Legends™,"Action, Adventure, Free to Play","Free to Play, Battle Royale, Multiplayer, Shooter, FPS, First-Person, PvP, Action, Team-Based, Hero Shooter, Tactical, Sci-fi, Survival, Character Customization, Loot, Funny, Co-op, Lore-Rich, Cyberpunk, Horror",0.0,0.0,Apex Legends,"4 Nov, 2020",Respawn Entertainment,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabic","(613,541)","(773,739)","(160,198)",Free,
Dota 2,"Action, Strategy, Free to Play","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",1.0,0.0,Dota,"9 Jul, 2013",Valve,Valve,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","(1,758,564)","(2,142,374)","(383,810)",Free,
Hogwarts Legacy,"Action, Adventure, RPG","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly",1.0,0.0,WB Games,"10 Feb, 2023",Avalanche Software,Warner Bros. Games,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(225,796)","(245,819)","(20,023)","1.290.000,00₫",-50%
Dead by Daylight,Action,"Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Stealth, Blood, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult",1.0,1.0,Dead by Daylight,"14 Jun, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish","(565,863)","(704,111)","(138,248)","230.000,00₫",-65%
Project Zomboid,"Indie, RPG, Simulation, Early Access","Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post-apocalyptic, Co-op, Crafting, Indie, Building, Simulation, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Adventure, Early Access",0.0,0.0,,"8 Nov, 2013",The Indie Stone,The Indie Stone,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Hungarian, Norwegian, Polish, Portuguese - Portugal, Russian, Turkish, Japanese, Simplified Chinese, Portuguese - Brazil, Finnish, Korean, Thai, Traditional Chinese, Ukrainian","(246,145)","(261,675)","(15,530)","260.000,00₫",-33%
Sons Of The Forest,"Action, Adventure, Indie, Simulation, Early Access","Survival, Open World, Multiplayer, Survival Horror, Co-op, Base Building, Crafting, Horror, First-Person, Exploration, Adventure, Building, Singleplayer, Atmospheric, Action-Adventure, Sandbox, Action, Simulation, Early Access, Immersive Sim",0.0,1.0,,"23 Feb, 2023",Endnight Games Ltd,Newnight ,"English, French, Italian, German, Spanish - Spain, Czech, Finnish, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish","(146,276)","(171,130)","(24,854)","385.000,00₫",-20%
Sekiro™: Shadows Die Twice - GOTY Edition,"Action, Adventure","Souls-like, Difficult, Action, Singleplayer, Ninja, Stealth, Adventure, Third Person, Open World, Story Rich, Violent, Atmospheric, Assassin, Dark Fantasy, Hack and Slash, RPG, Great Soundtrack, Gore, Rhythm, Dark",0.0,1.0,,"21 Mar, 2019",FromSoftware,Activision (Excluding Japan and Asia),"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Thai, Traditional Chinese, Portuguese - Brazil","(248,362)","(260,507)","(12,145)","1.290.000,00₫",-50%
It Takes Two,"Action, Adventure","Co-op, Multiplayer, Split Screen, Local Co-Op, Puzzle, Online Co-Op, Adventure, Story Rich, Local Multiplayer, Co-op Campaign, Puzzle Platformer, 3D Platformer, Action-Adventure, Platformer, Emotional, Action, Atmospheric, Exploration, Minigames, Female Protagonist",0.0,0.0,EA Originals,"25 Mar, 2021",Hazelight,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(139,366)","(146,320)","(6,954)","790.000,00₫",-75%
The Elder Scrolls® Online,"Action, Adventure, Massively Multiplayer, RPG","RPG, MMORPG, Open World, Adventure, Fantasy, Exploration, Multiplayer, Singleplayer, Massively Multiplayer, Action, Character Customization, PvP, PvE, Lore-Rich, Choose Your Own Adventure, Story Rich, Magic, Action RPG, Class-Based, Atmospheric",1.0,1.0,The Elder Scrolls,"4 Apr, 2014",ZeniMax Online Studios,Bethesda Softworks,"English, French, German, Russian, Spanish - Spain, Simplified Chinese","(115,283)","(141,088)","(25,805)","450.000,00₫",-70%
God of War,"Action, Adventure, RPG","Action, Singleplayer, Story Rich, Adventure, Mythology, Combat, Third Person, RPG, Violent, Hack and Slash, Fantasy, Open World, Exploration, Atmospheric, Gore, Emotional, Action RPG, Souls-like, 3D, PvE",0.0,1.0,PlayStation Studios,"14 Jan, 2022",Santa Monica Studio,PlayStation PC LLC,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Turkish, Traditional Chinese, Czech, Hungarian, Greek","(113,838)","(117,594)","(3,756)","1.159.000,00₫",-50%
Remnant II,"Action, Adventure, RPG","Souls-like, Action, Adventure, RPG, Co-op, Third-Person Shooter, Dark, Shooter, Action-Adventure, Post-apocalyptic, Combat, Multiplayer, Third Person, Horror, Online Co-Op, Atmospheric, PvE, Controller, Singleplayer, Gore",1.0,1.0,,"25 Jul, 2023",Gunfire Games,Gearbox Publishing,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese","(37,246)","(43,992)","(6,746)","830.000,00₫",-40%
Party Animals,"Action, Casual, Indie","Casual, Funny, Multiplayer, Cute, Party Game, Action, Fighting, PvP, Co-op, Party, Family Friendly, Online Co-Op, Physics, 3D Fighter, Local Multiplayer, 4 Player Local, Indie, Team-Based, Local Co-Op, Action-Adventure",1.0,0.0,,"20 Sep, 2023",Recreate Games,Source Technology,"English, Simplified Chinese, Traditional Chinese, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Thai","(26,543)","(36,220)","(9,677)","310.000,00₫",-30%
DAVE THE DIVER,"Adventure, Casual, Indie, RPG, Simulation","Pixel Graphics, Casual, Adventure, Management, RPG, Relaxing, Simulation, Fishing, Exploration, Underwater, Farming Sim, Singleplayer, Crafting, 2D, Roguelite, Story Rich, Funny, Agriculture, Early Access, Action",1.0,0.0,,"28 Jun, 2023",MINTROCKET,MINTROCKET,"English, Korean, Japanese, Simplified Chinese, German, Spanish - Spain, Traditional Chinese, French, Portuguese - Brazil","(80,998)","(83,021)","(2,023)","260.000,00₫",-20%
NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer","Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Massively Multiplayer, Third Person, Survival, Character Customization, Fighting, Hack and Slash, Swordplay, Parkour, Anime, Adventure, Mature, Violent, Free to Play, Gore",1.0,1.0,,"11 Aug, 2021",24 Entertainment,NetEase Games Global,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Spanish - Spain, Russian, Turkish, Portuguese - Portugal, Vietnamese, Thai","(159,091)","(233,803)","(74,712)",Free,
Stellaris,"Simulation, Strategy","Space, Grand Strategy, Strategy, Sci-fi, 4X, Exploration, Sandbox, Simulation, Multiplayer, Singleplayer, Real-Time with Pause, Moddable, Diplomacy, Management, Futuristic, Military, Replay Value, Great Soundtrack, Procedural Generation, Atmospheric",1.0,0.0,Stellaris,"9 May, 2016",Paradox Development Studio,Paradox Interactive,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Korean","(140,471)","(158,654)","(18,183)","400.000,00₫",-70%
Diablo® IV,"Action, RPG","Action RPG, Hack and Slash, Isometric, Singleplayer, Online Co-Op, Co-op, RPG, Action, Third Person, Fantasy, Multiplayer, PvE, Story Rich, Dungeon Crawler, Loot, Dark Fantasy, Point & Click, Gore, Exploration, Violent",1.0,1.0,Diablo,"17 Oct, 2023","Blizzard Entertainment, Inc."," Blizzard Entertainment, Inc.","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Turkish","(10,773)","(18,070)","(7,297)","1.680.000,00₫",-40%
Lies of P,"Action, Adventure, RPG","Souls-like, Action, Exploration, Dark Fantasy, Action RPG, Third Person, 3D, Story Rich, Dark, Singleplayer, Adventure, Steampunk, Atmospheric, RPG, Choices Matter, Multiple Endings, Violent, Gothic, Replay Value, Open World",1.0,1.0,NEOWIZ,"18 Sep, 2023",NEOWIZ,NEOWIZ,"English, French, German, Spanish - Spain, Russian, Japanese, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Polish, Korean, Italian","(23,462)","(25,339)","(1,877)","1.050.000,00₫",-20%
STAR WARS Jedi: Survivor™,"Action, Adventure","Action, Adventure, Singleplayer, Souls-like, Third Person, Sci-fi, Action-Adventure, Open World, Space, Story Rich, Swordplay, Parkour, Exploration, Combat, Character Customization, RPG, Atmospheric, Great Soundtrack, Difficult, Multiplayer",1.0,0.0,Star Wars,"27 Apr, 2023",Respawn,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(27,808)","(42,405)","(14,597)","1.090.000,00₫",-50%
Anno 1800,"Simulation, Strategy","City Builder, Strategy, Simulation, Economy, Multiplayer, Resource Management, Sandbox, RTS, Exploration, Singleplayer, Historical, Political, Management, Co-op, Choose Your Own Adventure, Politics, Story Rich, Building, Choices Matter, Multiple Endings",1.0,0.0,Anno Franchise,Apr 2019,Ubisoft Mainz,Ubisoft,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chinese","(11,256)","(13,914)","(2,658)","990.000,00₫",-75%
Persona 5 Royal,RPG,"JRPG, Story Rich, Anime, Great Soundtrack, Turn-Based Combat, RPG, Party-Based RPG, Singleplayer, Dating Sim, Multiple Endings, Turn-Based Strategy, Emotional, Visual Novel, Colorful, Sexual Content, Adventure, Heist, Soundtrack, Detective, Violent",0.0,1.0,Persona,"20 Oct, 2022",ATLUS,SEGA,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese","(49,196)","(50,609)","(1,413)","1.380.000,00₫",-50%
"Warhammer 40,000: Rogue Trader","Adventure, Indie, RPG, Strategy","Isometric, Exploration, Combat, Space, Tactical RPG, Choose Your Own Adventure, Action RPG, Collectathon, Open World, Multiple Endings, Controller, Futuristic, Colorful, Tactical, Warhammer 40K, Female Protagonist, RPG, CRPG, Choices Matter, Character Customization",1.0,1.0,Warhammer,"7 Dec, 2023",Owlcat Games,Owlcat Games ,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Japanese","(7,084)","(9,367)","(2,283)","585.000,00₫",
ARK: Survival Ascended,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access","Early Access, Survival, Open World, Dinosaurs, Adventure, Action, Building, Multiplayer, Crafting, Base Building, Sandbox, Character Customization, PvP, PvE, Inventory Management, Singleplayer, Massively Multiplayer, RPG, Sci-fi, Fantasy",0.0,0.0,Snail Games USA,"25 Oct, 2023",Studio Wildcard,Studio Wildcard,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Japanese, Korean, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish","(23,129)","(38,970)","(15,841)","1.100.000,00₫",-10%
Sid Meier’s Civilization® VI,Strategy,"Strategy, Turn-Based Strategy, Multiplayer, Historical, Singleplayer, Grand Strategy, Turn-Based, 4X, War, Simulation, City Builder, Tactical, Building, Management, Great Soundtrack, Moddable, Online Co-Op, Co-op, Hex Grid, Atmospheric",1.0,0.0,Sid Meier's Civilization,"20 Oct, 2016",Firaxis Games,2K,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","(252,258)","(294,014)","(41,756)","705.000,00₫",-90%
Football Manager 2024,"Simulation, Sports, Strategy","Simulation, Sports, Strategy, Football (Soccer), Management, eSports, Real Time Tactics, 3D, 2D, Economy, Multiplayer, Text-Based, Singleplayer",1.0,0.0,,"6 Nov, 2023",Sports Interactive,SEGA,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish","(6,096)","(6,911)",815,"990.000,00₫",
Cities: Skylines II,Simulation,"Simulation, City Builder, Building, Singleplayer, Sandbox, Management, Economy, Strategy, Realistic, Multiplayer, Moddable, Relaxing, Casual, Resource Management, Atmospheric, Open World, Early Access, Great Soundtrack, Transportation, Psychological Horror",0.0,0.0,Cities: Skylines,"24 Oct, 2023",Colossal Order Ltd.,Paradox Interactive,"English, French, Italian, German, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Traditional Chinese, Spanish - Spain","(25,646)","(42,217)","(16,571)","830.000,00₫",-10%
Street Fighter™ 6,"Action, Adventure","2D Fighter, Fighting, Action, Character Customization, Arcade, Adventure, Multiplayer, Competitive, PvP, Open World, eSports, Singleplayer, Action RPG, Controller, Local Multiplayer, 3D, Sandbox, Great Soundtrack, 3D Fighter, Martial Arts",1.0,0.0,,"1 Jun, 2023","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","English, Japanese, French, Italian, German, Spanish - Spain, Arabic, Portuguese - Brazil, Polish, Russian, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America","(28,519)","(32,383)","(3,864)","1.322.000,00₫",-34%
Sea of Thieves 2023 Edition,"Action, Adventure","Multiplayer, Adventure, Open World, Pirates, Co-op, Online Co-Op, Action, PvP, Sailing, First-Person, Exploration, Naval, Funny, PvE, Massively Multiplayer, Atmospheric, FPS, Swordplay, Great Soundtrack, Singleplayer",1.0,0.0,,"3 Jun, 2020",Rare Ltd,Xbox Game Studios,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Korean, Polish, Japanese, Turkish, Thai","(278,346)","(309,355)","(31,009)","400.000,00₫",-50%
Hearts of Iron IV,"Simulation, Strategy","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real-Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co-op, Competitive, Strategy RPG, Open World, Action",1.0,0.0,Hearts of Iron,"6 Jun, 2016",Paradox Development Studio,Paradox Interactive,"English, French, German, Polish, Portuguese - Brazil, Russian, Spanish - Spain, Japanese, Simplified Chinese","(241,739)","(263,075)","(21,336)","400.000,00₫",-70%
The Elder Scrolls V: Skyrim Special Edition,RPG,"Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Moddable, Dragons, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator",1.0,1.0,The Elder Scrolls,"27 Oct, 2016",Bethesda Game Studios,Bethesda Softworks,"English, French, Italian, German, Spanish - Spain, Polish, Traditional Chinese, Russian, Japanese","(256,900)","(281,282)","(24,382)","499.000,00₫",-80%
Age of Empires IV: Anniversary Edition,Strategy,"Strategy, RTS, War, Base Building, Multiplayer, Singleplayer, Medieval, Resource Management, City Builder, Historical, Action RTS, PvP, PvE, Co-op, 3D, Isometric, Management, Open World, Online Co-Op, Mature",1.0,0.0,Age of Empires,"28 Oct, 2021",Relic Entertainment,Xbox Game Studios,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Vietnamese, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Norwegian, Polish, Portuguese - Portugal, Swedish, Hindi","(53,417)","(61,582)","(8,165)","480.000,00₫",-50%
Total War: WARHAMMER III,"Action, Strategy","Early Access, Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy, Real Time Tactics, Dark Fantasy, War, Action, Tactical, Atmospheric, Games Workshop, Multiplayer, Colorful, PvP, Co-op, Story Rich, Singleplayer, Online Co-Op",1.0,1.0,Total War,"16 Feb, 2022",CREATIVE ASSEMBLY,SEGA,"English, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish","(55,843)","(93,283)","(37,440)","1.061.500,00₫",-50%
DayZ,"Action, Adventure, Massively Multiplayer","Survival, Multiplayer, Zombies, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Post-apocalyptic, Simulation, FPS, Early Access, First-Person, Survival Horror, Sandbox, Adventure, Co-op, Atmospheric, Indie",1.0,1.0,,"13 Dec, 2018",Bohemia Interactive,Bohemia Interactive,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil","(278,620)","(372,416)","(93,796)","1.000.000,00₫",-50%
House Flipper 2,"Casual, Indie, Simulation","Simulation, Design & Illustration, Building, Casual, Relaxing, Destruction, Sandbox, Family Friendly, Education, Immersive Sim, 3D, First-Person, Indie, Management, Singleplayer, Base Building, Colorful, Replay Value, Economy, Realistic",1.0,0.0,House Flipper,"14 Dec, 2023",Frozen District,Frozen District,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian","(2,974)","(3,740)",766,"438.500,00₫",-10%
Battlefield™ V,Action,"FPS, Multiplayer, World War II, Singleplayer, Shooter, War, Military, First-Person, PvP, Combat, Massively Multiplayer, Open World, Action, Historical, Destruction, Battle Royale, Atmospheric, Sexual Content, Violent, Female Protagonist",1.0,1.0,Battlefield,"9 Nov, 2018",DICE,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(130,425)","(184,523)","(54,098)","890.000,00₫",-92%
Stardew Valley,"Indie, RPG, Simulation","Farming Sim, Life Sim, Pixel Graphics, Multiplayer, RPG, Relaxing, Agriculture, Simulation, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Cute, Great Soundtrack, Dating Sim, Fishing",1.0,0.0,,"26 Feb, 2016",ConcernedApe,ConcernedApe,"English, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, French, Italian, Hungarian, Korean, Turkish","(624,617)","(635,713)","(11,096)","165.000,00₫",-33%
BeamNG.drive,"Racing, Simulation, Early Access","Simulation, Driving, Physics, Realistic, Destruction, Automobile Sim, Open World, Sandbox, Racing, Moddable, Singleplayer, Multiplayer, Early Access, First-Person, Third Person, Exploration, Funny, Action, Adventure, Flight",0.0,0.0,,"29 May, 2015",BeamNG,BeamNG,"English, French, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Spanish - Spain, German, Polish","(212,945)","(219,047)","(6,102)","220.000,00₫",-20%
Sunkenland,"Action, Indie, Early Access","Early Access, Open World Survival Craft, Co-op, Survival, Underwater, Base Building, Crafting, Multiplayer, Adventure, Exploration, Open World, FPS, Sandbox, PvE, Post-apocalyptic, Shooter, Realistic, Action, Trading, 3D",0.0,0.0,,"25 Aug, 2023",Vector3 Studio,Vector3 Studio,"English, Simplified Chinese, French, German, Spanish - Spain, Japanese, Korean, Russian, Turkish","(11,763)","(14,025)","(2,262)","260.000,00₫",-20%
theHunter: Call of the Wild™,"Adventure, Simulation, Sports","Hunting, Open World, Multiplayer, Simulation, First-Person, Shooter, Survival, Realistic, Co-op, Adventure, FPS, Action, Singleplayer, Online Co-Op, Walking Simulator, Atmospheric, Sports, Combat, Strategy, Gore",1.0,0.0,,"16 Feb, 2017",Expansive Worlds,Expansive Worlds,"English, French, German, Portuguese - Brazil, Russian, Spanish - Spain, Czech, Polish, Simplified Chinese, Japanese","(130,811)","(148,359)","(17,548)","260.000,00₫",-80%
Black Desert,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","MMORPG, Massively Multiplayer, Open World, RPG, Character Customization, Adventure, Fantasy, Action, Strategy, 3D, Medieval, Crafting, Atmospheric, Simulation, Magic, Cooking, Multiplayer, PvP, War, Combat",1.0,0.0,,"5 Sep, 2023",Pearl Abyss,Pearl Abyss,"English, French, German, Spanish - Spain, Japanese, Russian, Thai, Turkish, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America","(56,636)","(75,443)","(18,807)","80.000,00₫",-70%
New World,"Action, Adventure, Massively Multiplayer, RPG","Open World, Massively Multiplayer, MMORPG, RPG, Adventure, Action, PvP, PvE, Multiplayer, Fantasy, Walking Simulator, Character Customization, Crafting, Third Person, Co-op, Open World Survival Craft, Sandbox, Violent, Sexual Content, Singleplayer",1.0,1.0,,"28 Sep, 2021",Amazon Games,Amazon Games,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Spanish - Latin America","(190,636)","(270,932)","(80,296)","1.000.000,00₫",-60%
Microsoft Flight Simulator 40th Anniversary Edition,Simulation,"Simulation, Flight, Realistic, Open World, Multiplayer, VR, Singleplayer, Atmospheric, Real-Time, Physics, Adventure, Colorful, Family Friendly, Beautiful, TrackIR, Surreal, Controller, Epic, Short, Psychological Horror",0.0,0.0,,"17 Aug, 2020",Asobo Studio,Xbox Game Studios,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Dutch, Finnish, Japanese, Norwegian, Swedish","(41,985)","(53,575)","(11,590)","1.340.000,00₫",-40%
Battlefield™ 2042,"Action, Adventure, Casual","FPS, Shooter, Military, Multiplayer, War, Action, First-Person, Combat, Team-Based, PvP, Futuristic, Singleplayer, Vehicular Combat, Modern, Destruction, Physics, Cinematic, Adventure, Hero Shooter, Casual",1.0,1.0,Battlefield,"19 Nov, 2021",DICE,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(102,727)","(243,167)","(140,440)","990.000,00₫",-80%
The Binding of Isaac: Rebirth,Action,"Action Roguelike, Roguelike, Indie, Replay Value, Difficult, Pixel Graphics, Dungeon Crawler, Great Soundtrack, Singleplayer, Dark, 2D, Remake, Local Co-Op, Gore, Procedural Generation, Roguelite, Atmospheric, Action, Co-op, Horror",1.0,0.0,Binding of Isaac,"4 Nov, 2014","Nicalis, Inc.","Nicalis, Inc.",English,"(263,173)","(269,657)","(6,484)","165.000,00₫",-50%
American Truck Simulator,"Indie, Simulation","Automobile Sim, Driving, Open World, Transportation, Simulation, America, Realistic, Moddable, Relaxing, Exploration, Economy, Management, Atmospheric, Immersive Sim, Multiplayer, Singleplayer, Adventure, Casual, Family Friendly, Level Editor",1.0,0.0,SCS Software,"2 Feb, 2016",SCS Software,SCS Software,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Turkish, Ukrainian, Traditional Chinese","(138,069)","(142,747)","(4,678)","280.000,00₫",-75%
