Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
MELTY BLOOD: TYPE LUMINA,Action,"2D Fighter, Anime, PvP, Pixel Graphics, Spectacle fighter, Lore-Rich, Local Multiplayer, Tutorial, Action, Multiplayer, eSports, Vampire, 2D, Fighting, Arcade, Controller, Competitive, Singleplayer, PvE, Great Soundtrack",1.0,0.0,Lasengle Inc.,"29 Sep, 2021",FRENCH-BREAD,Lasengle Inc.,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, Spanish - Latin America, Portuguese - Brazil","(7,593)","(8,644)","(1,051)","390.000,00₫",-50%
The Game of Life 2,"Casual, Simulation, Strategy","Board Game, Party, Multiplayer, Card Game, Family Friendly, Tabletop, Life Sim, Sequel, Simulation, Casual, Strategy, Choices Matter, Choose Your Own Adventure, Character Customization, 3D, Cartoon, PvP, Colorful, 4 Player Local, Local Multiplayer",1.0,0.0,Marmalade Game Studio Ltd,"11 Dec, 2020",Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil","(2,360)","(2,978)",618,"173.000,00₫",-60%
Mini Motorways,"Casual, Indie, Simulation, Strategy","Strategy, Simulation, Casual, Indie, Management, Minimalist, Puzzle, Relaxing, Building, Singleplayer, Transportation, Stylized, Beautiful, Top-Down, City Builder, Family Friendly, Great Soundtrack, Resource Management, Touch-Friendly, Psychological Horror",0.0,0.0,,"20 Jul, 2021",Dinosaur Polo Club,Dinosaur Polo Club,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish","(17,283)","(18,019)",736,"120.000,00₫",-10%
港詭實錄ParanormalHK,"Adventure, Indie","Horror, Sexual Content, Dating Sim, Adventure, Psychological Horror, Multiplayer, Thriller, Puzzle, Indie, First-Person, Funny, Singleplayer, Drama, Nudity, Atmospheric, Dark, Action, Walking Simulator, FPS, Co-op",0.0,0.0,Gamera Games,"6 Jan, 2020",Ghostpie Studio,Ghostpie Studio,"English, Traditional Chinese, Simplified Chinese, Japanese","(13,851)","(15,284)","(1,433)","188.000,00₫",-50%
Dragon Age II: Ultimate Edition,"Action, Adventure, RPG","RPG, Action, Adventure, Fantasy, Singleplayer, Combat, Action RPG, Third Person, Character Customization, Choices Matter, Story Rich, Sexual Content, Tactical RPG, Violent, Gore, Romance, Dark Fantasy, Open World, Female Protagonist, LGBTQ+",0.0,1.0,Dragon Age,"8 Mar, 2011",BioWare,Electronic Arts,"English, French, Italian, German, Polish, Portuguese - Brazil, Russian","(3,380)","(4,190)",810,"690.000,00₫",-80%
Caves of Qud,"Adventure, Indie, RPG, Strategy, Early Access","Early Access, Simulation, Indie, Singleplayer, Pixel Graphics, Traditional Roguelike, Roguelike, Survival, Character Customization, Story Rich, CRPG, Difficult, RPG, Perma Death, Turn-Based Combat, Roguelite, Strategy RPG, Strategy, Moddable, Lore-Rich",1.0,0.0,,"15 Jul, 2015",Freehold Games,Kitfox Games,English,"(6,400)","(6,718)",318,"188.000,00₫",-10%
VA-11 Hall-A: Cyberpunk Bartender Action,"Adventure, Indie, Simulation","Cyberpunk, Visual Novel, Pixel Graphics, Story Rich, Female Protagonist, Dystopian, LGBTQ+, Choices Matter, Point & Click, Casual, Simulation, Anime, Memes, Transhumanism, 2D, Life Sim, Adventure, Funny, Cute, Sci-fi",0.0,0.0,Ysbryd Games,"21 Jun, 2016",Sukeban Games,Ysbryd Games,"English, Japanese, Simplified Chinese","(32,303)","(33,124)",821,"165.000,00₫",-33%
Dokapon Kingdom: Connect,"Action, Casual, RPG, Strategy","Casual, RPG, Strategy, Arcade, Board Game, Turn-Based Strategy, 3D, Cartoon, Cartoony, Top-Down, Family Friendly, Fantasy, Magic, PvP, Class-Based, PvE, Turn-Based Combat, Multiplayer, Singleplayer, 4 Player Local",0.0,0.0,Idea Factory International,"7 Sep, 2023",Idea Factory,Idea Factory International,"English, Japanese",191,216,25,"585.000,00₫",-25%
Sherlock Holmes The Awakened,Adventure,"Lovecraftian, Story Rich, Detective, Open World, Mystery, Horror, Action-Adventure, Exploration, Choices Matter, Psychological Horror, Controller, Narration, Action, Realistic, Atmospheric, Investigation, Adventure, Dark, Supernatural, Singleplayer",1.0,1.0,Sherlock Holmes,"11 Apr, 2023",Frogwares,Frogwares,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian",903,"(1,039)",136,"681.000,00₫",-45%
觅长生,"Indie, RPG, Strategy","RPG, Open World, Martial Arts, Drama, Strategy, Indie, Fantasy, Turn-Based Combat, Singleplayer, Story Rich, Strategy RPG, Simulation, Roguelite, Character Customization, Anime, Exploration, 2D, Colorful, 2D Platformer, Card Battler",1.0,0.0,,"26 Nov, 2019",Chalcedony Network,Chalcedony Network,"English, Simplified Chinese","(21,399)","(22,948)","(1,549)","205.000,00₫",-15%
